id_unique;url;prix;cp;type;date_vente;status;titre
Appartement Appartement et cave à Marseille (13014) Les Rosiers - Bât A 21 Trav. des Rosiers, 13014 Marseille,_13014_7000;https://avoventes.fr/recherche/toutes;7000.0;13014.0;Appartement;13/05/2026;terminee;Appartement Appartement et cave à Marseille (13014) Les Rosiers - Bât A 21 Trav. des Rosiers, 13014 Marseille,
Terrain TERRAIN CONSTRUCTIBLE à GALLARDON 1 Chem. de la Cavée, 28320 Gallardon,_28320_100000;https://avoventes.fr/recherche/toutes;100000.0;28320.0;Terrain;13/05/2026;terminee;Terrain TERRAIN CONSTRUCTIBLE à GALLARDON 1 Chem. de la Cavée, 28320 Gallardon,
Local commercial TROIS LOCAUX COMMERCIAUX à EVRY-COURCOURONNES All. Eugène Piat, 91000 Évry-Courcouronnes,_91000_52000;https://avoventes.fr/recherche/toutes;52000.0;91000.0;Local commercial;13/05/2026;terminee;Local commercial TROIS LOCAUX COMMERCIAUX à EVRY-COURCOURONNES All. Eugène Piat, 91000 Évry-Courcouronnes,
Maison MAISON D'HABITATION À SERMAISE 31 Grande Rue, 91530 Sermaise,_91530_167200;https://avoventes.fr/recherche/toutes;167200.0;91530.0;Maison;13/05/2026;terminee;Maison MAISON D'HABITATION À SERMAISE 31 Grande Rue, 91530 Sermaise,
Local commercial UN LOCAL COMMERCIAL AVEC DIX EMPLACEMENTS DE STATIONNEMENT, SITUÉ A GRIGNY 10 Ter Rue Jean Jacques Rousseau, 91350 Grigny,_91350_300000;https://avoventes.fr/recherche/toutes;300000.0;91350.0;Local commercial;13/05/2026;terminee;Local commercial UN LOCAL COMMERCIAL AVEC DIX EMPLACEMENTS DE STATIONNEMENT, SITUÉ A GRIGNY 10 Ter Rue Jean Jacques Rousseau, 91350 Grigny,
Propriété VENTE LE MESNIL SAINT FIRMIN 8 Rue d'en Haut, 60120 Le Mesnil-Saint-Firmin,_60120_40000;https://avoventes.fr/recherche/toutes;40000.0;60120.0;Autre;13/05/2026;future;Propriété VENTE LE MESNIL SAINT FIRMIN 8 Rue d'en Haut, 60120 Le Mesnil-Saint-Firmin,
Maison UNE MAISON D'HABITATION À MONTCHEVREL 2 Imp. des Vignettes, 61170 Montchevrel,_61170_40000;https://avoventes.fr/recherche/toutes;40000.0;61170.0;Maison;13/05/2026;future;Maison UNE MAISON D'HABITATION À MONTCHEVREL 2 Imp. des Vignettes, 61170 Montchevrel,
Appartement APPARTEMENT + EMPLACEMENT DE STATIONNEMENT à MONTPELLIER 20 Rue de la Condamine, 34080 Montpellier,_34080_30000;https://avoventes.fr/recherche/toutes;30000.0;34080.0;Appartement;18/05/2026;future;Appartement APPARTEMENT + EMPLACEMENT DE STATIONNEMENT à MONTPELLIER 20 Rue de la Condamine, 34080 Montpellier,
Appartement 2 APPARTEMENTS + MAISON + CAVE + GARAGE + 3 LOCAUX A AUTUN 11 Rue du Faubourg Saint-Andoche, 71400 Autun,_71400_139000;https://avoventes.fr/recherche/toutes;139000.0;71400.0;Appartement;19/05/2026;future;Appartement 2 APPARTEMENTS + MAISON + CAVE + GARAGE + 3 LOCAUX A AUTUN 11 Rue du Faubourg Saint-Andoche, 71400 Autun,
Appartement LOGEMENT + GARAGE A LIVRY-GARGAN 6 Rue Jacob, 93190 Livry-Gargan,_93190_30000;https://avoventes.fr/recherche/toutes;30000.0;93190.0;Appartement;19/05/2026;retiree;Appartement LOGEMENT + GARAGE A LIVRY-GARGAN 6 Rue Jacob, 93190 Livry-Gargan,
Terrain EN CINQ LOTS PARCELLES DE TERRES AGRICOLES ET BOIS SISES A MASSIEUX et CIVRIEUX Chem. des Pennetières, 01600 Massieux,_01600_3192;https://avoventes.fr/recherche/toutes;3192.0;1600.0;Terrain;19/05/2026;future;Terrain EN CINQ LOTS PARCELLES DE TERRES AGRICOLES ET BOIS SISES A MASSIEUX et CIVRIEUX Chem. des Pennetières, 01600 Massieux,
Maison UNE MAISON D'HABITATION À LE PERRAY EN YVELINES 3 All. de la Hulotte, 78610 Le Perray-en-Yvelines,_78610_100000;https://avoventes.fr/recherche/toutes;100000.0;78610.0;Maison;20/05/2026;future;Maison UNE MAISON D'HABITATION À LE PERRAY EN YVELINES 3 All. de la Hulotte, 78610 Le Perray-en-Yvelines,
Maison MAISON A BONNIERES SUR SEINE 3 Rue Jules Michaux, 78270 Bonnières-sur-Seine,_78270_144000;https://avoventes.fr/recherche/toutes;144000.0;78270.0;Maison;20/05/2026;future;Maison MAISON A BONNIERES SUR SEINE 3 Rue Jules Michaux, 78270 Bonnières-sur-Seine,
Propriété Propriété à usage de bureaux et d’entrepôts A SAINT-QUENTIN 86 Rue Benezet, 02100 Saint-Quentin,_02100_70000;https://avoventes.fr/recherche/toutes;70000.0;2100.0;Autre;20/05/2026;future;Propriété Propriété à usage de bureaux et d’entrepôts A SAINT-QUENTIN 86 Rue Benezet, 02100 Saint-Quentin,
Maison MAISON A VITTEAUX 9 Pl. du Rocher, 21350 Vitteaux,_21350_5000;https://avoventes.fr/recherche/toutes;5000.0;21350.0;Maison;20/05/2026;future;Maison MAISON A VITTEAUX 9 Pl. du Rocher, 21350 Vitteaux,
Maison UNE MAISON INDIVIDUELLE AVEC JARDIN PRIVATIF 23 Rue Franklin, 69120 Vaulx-en-Velin,_69120_180000;https://avoventes.fr/recherche/toutes;180000.0;69120.0;Maison;21/05/2026;future;Maison UNE MAISON INDIVIDUELLE AVEC JARDIN PRIVATIF 23 Rue Franklin, 69120 Vaulx-en-Velin,
Local industriel Bâtiment industriel à ANDREZIEUX-BOUTHEON 1388 Rue Adrienne Bolland, 42160 Andrézieux-Bouthéon,_42160_2100000;https://avoventes.fr/recherche/toutes;2100000.0;42160.0;Autre;21/05/2026;future;Local industriel Bâtiment industriel à ANDREZIEUX-BOUTHEON 1388 Rue Adrienne Bolland, 42160 Andrézieux-Bouthéon,
Autres CORPS DE FERME + diverses PARCELLES DE TERRE à CERNOY-EN-BERRY Petit Bray, 45360 Cernoy-en-Berry,_45360_28500;https://avoventes.fr/recherche/toutes;28500.0;45360.0;Villa;21/05/2026;future;Autres CORPS DE FERME + diverses PARCELLES DE TERRE à CERNOY-EN-BERRY Petit Bray, 45360 Cernoy-en-Berry,
Appartement Appartement + 2 caves à SAINT-ETIENNE 15 Rue Jean Baptiste David, 42100 Saint-Étienne,_42100_30000;https://avoventes.fr/recherche/toutes;30000.0;42100.0;Appartement;21/05/2026;future;Appartement Appartement + 2 caves à SAINT-ETIENNE 15 Rue Jean Baptiste David, 42100 Saint-Étienne,
Maison MAISON D’HABITATION MITOYENNE AVEC GARAGE ET DEUX JARDINS À CENON 20 Rue Gustave Courbet, 33150 Cenon,_33150_118000;https://avoventes.fr/recherche/toutes;118000.0;33150.0;Maison;21/05/2026;future;Maison MAISON D’HABITATION MITOYENNE AVEC GARAGE ET DEUX JARDINS À CENON 20 Rue Gustave Courbet, 33150 Cenon,
Maison DEUX MAISONS MITOYENNES HORS D’EAU AVEC PISCINES ET JARDIN À CARBON BLANC 15 Rue Pasteur, 33560 Carbon-Blanc,_33560_247800;https://avoventes.fr/recherche/toutes;247800.0;33560.0;Maison;21/05/2026;future;Maison DEUX MAISONS MITOYENNES HORS D’EAU AVEC PISCINES ET JARDIN À CARBON BLANC 15 Rue Pasteur, 33560 Carbon-Blanc,
Appartement APPARTEMENT + CAVE + PARKING + APPARTEMENT + CAVE + PARKING à PERPIGNAN (VENTE EN 2 LOTS) 53 Av. Emile Roudayre, 66000 Perpignan,_66000_18000;https://avoventes.fr/recherche/toutes;18000.0;66000.0;Appartement;22/05/2026;future;Appartement APPARTEMENT + CAVE + PARKING + APPARTEMENT + CAVE + PARKING à PERPIGNAN (VENTE EN 2 LOTS) 53 Av. Emile Roudayre, 66000 Perpignan,
Maison maison avec jardin 35 Rue du 1er Bataillon, 88210 Senones,_88210_34000;https://avoventes.fr/recherche/toutes;34000.0;88210.0;Maison;22/05/2026;future;Maison maison avec jardin 35 Rue du 1er Bataillon, 88210 Senones,
Maison maison d'habitation 29 Rue des Paramelles, 88500 Bettoncourt,_88500_39000;https://avoventes.fr/recherche/toutes;39000.0;88500.0;Maison;22/05/2026;future;Maison maison d'habitation 29 Rue des Paramelles, 88500 Bettoncourt,
Maison Une maison à usage d’habitation à PROVENCHERES-ET-COLROY 3 Rue de l'Église, 88490 Provenchères-et-Colroy,_88490_1000;https://avoventes.fr/recherche/toutes;1000.0;88490.0;Maison;22/05/2026;future;Maison Une maison à usage d’habitation à PROVENCHERES-ET-COLROY 3 Rue de l'Église, 88490 Provenchères-et-Colroy,
Maison Une MAISON D’HABITATION à BAUDRICOURT 412 Rue Saint-Rémy, 88500 Baudricourt,_88500_15000;https://avoventes.fr/recherche/toutes;15000.0;88500.0;Maison;22/05/2026;future;Maison Une MAISON D’HABITATION à BAUDRICOURT 412 Rue Saint-Rémy, 88500 Baudricourt,
Studio Local de type studio et terrasse à ROCHE LEZ BEAUPRE 3 Rue du Clousey, 25220 Roche-lez-Beaupré,_25220_5000;https://avoventes.fr/recherche/toutes;5000.0;25220.0;Autre;22/05/2026;future;Studio Local de type studio et terrasse à ROCHE LEZ BEAUPRE 3 Rue du Clousey, 25220 Roche-lez-Beaupré,
Maison MAISON À THIERS 5 Av. Jean Jaurès, 63300 Thiers,_63300_10000;https://avoventes.fr/recherche/toutes;10000.0;63300.0;Maison;22/05/2026;future;Maison MAISON À THIERS 5 Av. Jean Jaurès, 63300 Thiers,
Appartement Appartement + place de stationnement + garage à LES AUXONS 24 Rue de l'Église, 25870 Les Auxons,_25870_55000;https://avoventes.fr/recherche/toutes;55000.0;25870.0;Appartement;22/05/2026;future;Appartement Appartement + place de stationnement + garage à LES AUXONS 24 Rue de l'Église, 25870 Les Auxons,
Autres Bâtiment à usage de local professionnel et d’habitation à AMBERT 17 Rue Montgolfier, 63600 Ambert,_63600_54000;https://avoventes.fr/recherche/toutes;54000.0;63600.0;Autre;22/05/2026;future;Autres Bâtiment à usage de local professionnel et d’habitation à AMBERT 17 Rue Montgolfier, 63600 Ambert,
s en DEUX LOTS diverses parcelles sur les communes de POUILLY SUR LOIRE (LOT 2 : 5000 €) et MESVRES SUR LOIRE (LOT 1 :7000 €) 58400 Mesves-sur-Loire,_58400_7000;https://avoventes.fr/recherche/toutes;7000.0;58400.0;Terrain;26/05/2026;future;s en DEUX LOTS diverses parcelles sur les communes de POUILLY SUR LOIRE (LOT 2 : 5000 €) et MESVRES SUR LOIRE (LOT 1 :7000 €) 58400 Mesves-sur-Loire,
Studio UN STUDIO AVEC AIRE DE STATIONNEMENT A AX LES THERMES Av. des Lagopèdes, Résidence, 1 Rue de Manseille, 09110 Ax-les-Thermes,_09110_25000;https://avoventes.fr/recherche/toutes;25000.0;9110.0;Autre;26/05/2026;future;Studio UN STUDIO AVEC AIRE DE STATIONNEMENT A AX LES THERMES Av. des Lagopèdes, Résidence, 1 Rue de Manseille, 09110 Ax-les-Thermes,
Terrain Maison 4 Rue des Ponts, 18320 Jouet-sur-l'Aubois,_18320_27000;https://avoventes.fr/recherche/toutes;27000.0;18320.0;Maison;27/05/2026;future;Terrain Maison 4 Rue des Ponts, 18320 Jouet-sur-l'Aubois,
Terrain Terrain constructible à MEREAU Chem. des Grandes Noues Fontaines, 18100 Méreau,_18100_18000;https://avoventes.fr/recherche/toutes;18000.0;18100.0;Terrain;27/05/2026;future;Terrain Terrain constructible à MEREAU Chem. des Grandes Noues Fontaines, 18100 Méreau,
Appartement Appartement + cave à BOURGES Rue Arthur Rimbaud, 18000 Bourges,_18000_25000;https://avoventes.fr/recherche/toutes;25000.0;18000.0;Appartement;27/05/2026;future;Appartement Appartement + cave à BOURGES Rue Arthur Rimbaud, 18000 Bourges,
Maison PAVILLON A TRIEL SUR SEINE 384 Rue Paul Doumer, 78510 Triel-sur-Seine,_78510_50000;https://avoventes.fr/recherche/toutes;50000.0;78510.0;Maison;27/05/2026;future;Maison PAVILLON A TRIEL SUR SEINE 384 Rue Paul Doumer, 78510 Triel-sur-Seine,
Maison MAISON À MARCQ 1 Rue du Puits Perdu, 78770 Marcq,_78770_200000;https://avoventes.fr/recherche/toutes;200000.0;78770.0;Maison;27/05/2026;future;Maison MAISON À MARCQ 1 Rue du Puits Perdu, 78770 Marcq,
Appartement APPARTEMENT A MARSEILLE 3 Rue Gautier, 13003 Marseille,_13003_11000;https://avoventes.fr/recherche/toutes;11000.0;13003.0;Appartement;27/05/2026;future;Appartement APPARTEMENT A MARSEILLE 3 Rue Gautier, 13003 Marseille,
